name,barcode,price,stock
Craft Mac & Cheese,0 21000 77436 4,1.29,5.0
White Bread Loaf,0 78742 28544 3,4.88,1.0
Frosted Toaster Treats,0 11110 13103 4,1.0,5.0
Granola Bars Chewy,0 1113 86992 0,4.29,5.0
Mini Pretzle Twists,0 78742 22258 5,2.24,0.5
Original Syrup,0 78742 37008 8,2.36,1.0
Long Grain Enriched Rice,0 78742 35204 6,0.64,1.0
Taco Bell Orinigal Taco Seasoning Mix,0 21000 03934 0,0.89,1.0
Fast Rising Yeast,07874236571 8,2.99,1.0
Light Brown Sugar,0 78742 37221 1,1.32,1.0
Complete Pancake & Waffle Mix,0 78742 37082 8,5.04,0.5
Granulated Sugar,0 78742 22803 7,1.74,1.0
Mini Semi-Sweet Chocolate Chips,0 78742 23616 2,2.32,1.0
All Purpose Flour,0 78742 37006 4,2.38,1.0
Whole Kernel Corn,0 78742 36939 6,1.48,1.0
Cream of Chicken Condensed Soup,0 11110 04515 7,3.19,1.0
Baking Powder,0 78742 05410 0,5.57,1.0
Tomato Sauce,0 78742 36952 5,1.48,1.0
Yellow Mustard,0 78742 09197 6,0.98,1.0
Real Mayonnaise,0 48001 35356 5,2.98,1.0
Pillsbury Grands Big Biscuits,0 182600 3,2.99,1.0
Oven Roasted Turkey Breast,0 51900 01602 8,5.94,1.0
Bang Energy Cotton Candy,6 10764 00031 6 ,1.88,1.0
Mexican Style Blend Shredded Cheese,0 1110 50204 9,2.29,1.0
Sweet Cream Butter Salted,0 78742 01603 0,4.16,0.5
Honeycrisp Apple,3283,1.29,1.0
Classic Franks Hot Dogs,0 15900 13401 4,0.99,1.0
Thick Sliced Bacon,0 78742 02254 3,3.94,1.0
Roasted Garlic Alfredo Sauce,0 1110 85100 0,1.82,1.0
Broccoli Cuts,0 78742 23732 9,1.0,1.0
Buffalo Style Boneless Chicken Bites,0 23700 01405 4,6.99,1.0
Marshmellow Mateys,0 42400 39548 5,9.59,0.5
Maruchan Ramen,0 41789 00231 1,7.2,2.0
Gold Standars 100% Whey,7 48927 02861 4,24.99,2.0
Ground Beef,1234,5.0,2.0
Chicken Breasts,4321,6.29,2.0
Hersheys Chocolate Bar,5678,2.0,0.0
